username, created_at, lng, lat, text
PRiMETiMESNOOP, Thu Apr 23 18:10:50 +0000 2020, -122.818486, 49.111519, @ber2zee @teamtakedown1 Brings back memories. 
kennybor24, Thu Apr 23 18:10:50 +0000 2020, -96.291649, 30.585471, @AOC Flailing arms crack lady is back... 
WinchellJr, Thu Apr 23 18:10:50 +0000 2020, -79.008801, 43.101794, @TheAmberNova Look at those cakes 😍😍😍 
CoachLok, Thu Apr 23 18:10:50 +0000 2020, -117.881969, 34.087543, Just #Try. Consider the effect (on everybody and everything) when you don't TRY. #goldstandardcoaching https://t.co/eeVnjG8uE0 
R_female, Thu Apr 23 18:10:50 +0000 2020, -117.104989, 32.810012, @shaikha_alo امين حبي 🤲🏻✨ 
jhanus22, Thu Apr 23 18:10:50 +0000 2020, -98.540651, 29.417501, *wear sis 
TevonBlair, Thu Apr 23 18:10:50 +0000 2020, -76.977119, 38.965552, Karen, they finna drag you. 
Kali_dream11, Thu Apr 23 18:10:50 +0000 2020, -75.583869, 39.221018, @Jxixvxxiiv https://t.co/o9V6e3ccJZ 
_Prettyasskash, Thu Apr 23 18:10:50 +0000 2020, -87.732013, 41.833585, I’m never letting another nigga get this close to me On my brother . 
MorrisAnimal, Thu Apr 23 18:10:50 +0000 2020, -73.723025, 45.557830, Tiny. Very old. Totally deaf. You know what to do, Twitter. Adopt @MtlARN sweetheart Minerve:… https://t.co/QUc9pCekrX 
edwinivargas, Thu Apr 23 18:10:51 +0000 2020, -112.124676, 33.552863, Vent to God 
pIayboyari, Thu Apr 23 18:10:51 +0000 2020, -87.967292, 43.056722, they be having the same pair for 5 years 
hannjpearce, Thu Apr 23 18:10:51 +0000 2020, -118.400264, 33.916649, 🥰 https://t.co/1pM43Pusg3 
Aniabeyyyyy, Thu Apr 23 18:10:51 +0000 2020, -75.117998, 40.004866, I’m so picky..but i rlly don’t want no car with carpet seats ew 
Ch3rioLoki, Thu Apr 23 18:10:51 +0000 2020, -77.493170, 37.529883, #FortniteCreative Croutons! Who is going to the #travisscottfortnite #concerts tonight? @FortniteGame… https://t.co/JjoEBYmkk9 
leddeb420, Thu Apr 23 18:10:51 +0000 2020, -121.405451, 38.489742, @SteveScalise @realDonaldTrump What f-ing oversight have the GOP done done on anything? All I've seen is covering u… https://t.co/NEljCZ7nk2 
BCAG_Connect, Thu Apr 23 18:10:51 +0000 2020, -98.500000, 29.416700, Jesus -“And he was in the hinder part of the ship, asleep on a pillow: and they awake him, and say unto him, Maste… https://t.co/2i8ieLhxMx 
arbyannalaniece, Thu Apr 23 18:10:51 +0000 2020, -95.913642, 36.109392, Definitely 
jflorentinord, Thu Apr 23 18:10:51 +0000 2020, -73.968542, 40.780709, @litaaaros @JohnCena No encontraste una más sangrienta. 😂😂😂😂😂 
TerribleII, Thu Apr 23 18:10:51 +0000 2020, -74.893597, 40.089530, Just pre applied for the second wave ppp loans going out. I havnt received a dime from the government yet but I sti… https://t.co/IS4X9GdRcB 
tallsnacksnack, Thu Apr 23 18:10:51 +0000 2020, -110.915573, 32.189391, @TomStoddartWUT Come over and I'll prove it to you 
RotoRich, Thu Apr 23 18:10:51 +0000 2020, -97.150999, 32.960651, Will produce one more #MockDraft update based on latest intel mid-afternoon. Man, is it gametime yet?Let’s go! 
laurendawsonnn, Thu Apr 23 18:10:51 +0000 2020, -75.117998, 40.004866, Like when it comes to boyfriends, i pick good ones. When it comes to guys i talk to (that i convince myself i wanna… https://t.co/OLnFoP34TO 
ErikPatino6, Thu Apr 23 18:10:51 +0000 2020, -117.905645, 33.663609, @robsrevenge_ 👀 https://t.co/comPjeeJz7 
KingBBlanco, Thu Apr 23 18:10:51 +0000 2020, -86.791549, 36.200008, Casa de papel got really good!!! 
brytonRENEE, Thu Apr 23 18:10:51 +0000 2020, -94.378332, 39.088004, I should have thought about what I was going to wear today before I put every pair of pants I own in the washing ma… https://t.co/BXPoPj7vhK 
shmooooeeeyyyy, Thu Apr 23 18:10:51 +0000 2020, -80.178392, 26.039680, If that Honor Society don’t stop emailing me... 
munoz_io, Thu Apr 23 18:10:51 +0000 2020, -118.411907, 34.020789, @charbrew (btw - after 36 minutes, One Cut of the Dead is more about making a horror film than being one) 
HG2films, Thu Apr 23 18:10:51 +0000 2020, -118.411907, 34.020789, Movie 🎥 
jay_pdx81, Thu Apr 23 18:10:51 +0000 2020, -122.630908, 45.536402, I just ordered this! #Trekkie #LoudAndProud #TrekkieForLife #ThatTrekLife #StarTrek #Hoodie 🖖🏼😎 https://t.co/PNBs5yOPjF 
rickerachi, Thu Apr 23 18:10:51 +0000 2020, -98.540651, 29.417501, Really wish I was as good as making money in real life as I am in animal crossing lol 
Jessicalovesfam, Thu Apr 23 18:10:51 +0000 2020, -111.532465, 32.975264, Here’s a song for you… Let Your Love - Joshwa Remix by Sammy Porterhttps://t.co/9VdGFeb8mU 
BoStranglesTV, Thu Apr 23 18:10:51 +0000 2020, -122.362414, 37.948843, Marshawn is officially the Bay’s most real representative. 
CoachKBayer, Thu Apr 23 18:10:51 +0000 2020, -96.187228, 38.411349, @CoachLUlrich @twusga @ArkansasTechVB One of the best I have ever coached. She could sky. Had amazing ball control.… https://t.co/HNqIevaayD 
MarkLaliberteMN, Thu Apr 23 18:10:51 +0000 2020, -93.176962, 44.988022, @DamonLaliberte Youth baseball instruction is wanting. More of this is needed. https://t.co/fA7y5dRU8n 
elrobby12, Thu Apr 23 18:10:51 +0000 2020, -98.540651, 29.417501, @Jim_Jordan And you never miss an opportunity to drop to your knees to defend him, while crying the whole time 
d3ricc, Thu Apr 23 18:10:51 +0000 2020, -95.446486, 29.838495, @MLB @Nomar5 @RedSox @AROD @Mariners @Yankees @AllStarGame https://t.co/i8XIesFZyp 
1terricaa, Thu Apr 23 18:10:52 +0000 2020, -84.433106, 33.767195, @RaymeeNicole Where 👀 there’s a court at Brownwood park off Moreland, but that’s concrete 🤦🏾‍♀️ 
VoodooOdd, Thu Apr 23 18:10:52 +0000 2020, -95.950513, 41.231347, Odd fellows scene bearer robe. Does have the waist tie and tassel attached. $219.99 Open until 8pm… https://t.co/s7JHcfNbO8 
brandmodels, Thu Apr 23 18:10:52 +0000 2020, -74.006400, 40.714200, COLORFUL - lottamaybelake for @Issue_Official MayPhoto eduardorezendeStyle @Schanel_BMakeup carolinadaliHair be… https://t.co/cGTExTmE7k 
Dj_Rondo, Thu Apr 23 18:10:52 +0000 2020, -89.876449, 32.571032, Bend Ova Let Me See It From The Back🗣 
_YoungPicasso_, Thu Apr 23 18:10:52 +0000 2020, -77.207932, 39.136097, @sunflowerkt_ https://t.co/5xygv6zR0Y 
Pistolallie, Thu Apr 23 18:10:52 +0000 2020, -77.604684, 41.117936, @k_fleeger ??? Lol 
CharmingSlut, Thu Apr 23 18:10:52 +0000 2020, -73.968542, 40.780709, Does having candy to increase my blood sugar mid-gangbang with 2 dicks in my ass count as sex with food? 🤔… https://t.co/PAUTt8u5ax 
chico_extrano_1, Thu Apr 23 18:10:52 +0000 2020, -118.351218, 33.833714, #Elena was really out here vying for worse mother of the year #LittleFiresEverywhere 
WWDEatNext, Thu Apr 23 18:10:52 +0000 2020, -86.142922, 39.779562, Lady at the liquor store said that I looked 16Do I look 16 to you? 🤨🧔🏾 https://t.co/L3QGFaBw47 
Toetal_Vixen, Thu Apr 23 18:10:52 +0000 2020, -97.343915, 37.683897, @BryanBent123 Awww ☺️😘 
laniee_04, Thu Apr 23 18:10:52 +0000 2020, -85.768241, 37.822244, @JayChardo U could’ve took a pic without that hideous wall 🙄 
ItzAllArez, Thu Apr 23 18:10:52 +0000 2020, -96.761753, 32.819858, Going Live in 15 Minutes #CoDMobile ⬇️⬇️⬇️Omlet Arcade:https://t.co/niHBqxalvmFacebook:https://t.co/jvOxwR3G3f… https://t.co/zVSmzrVCdO 
dolgre82, Thu Apr 23 18:10:52 +0000 2020, -106.737438, 32.342299, @NikkiHaley You’re such a frigging hypocrite, Nikki. Last time anyone checked SC takes more from the Feds than it… https://t.co/m5eNNeeu0O 
carlyjake, Thu Apr 23 18:10:53 +0000 2020, -117.294096, 34.134925, @Brink_Thinker Wow 
BevriFood, Thu Apr 23 18:10:53 +0000 2020, -122.023841, 37.378397, Delicious indeed 
_aurasphere, Thu Apr 23 18:10:53 +0000 2020, -77.604684, 41.117936, one last thing: best thing about music is that i’ve made friends from all around the world because of it, and i jus… https://t.co/LyqmFm5QS3 
deannananner, Thu Apr 23 18:10:53 +0000 2020, -78.657837, 35.843981, toms business ideas give me LIFE #oocparks 
HannahNicole402, Thu Apr 23 18:10:53 +0000 2020, -84.430913, 39.223030, My grandma was watching jayce and he was sleeping, she heard him giggling and came out and he was butt naked in his… https://t.co/xgxGsOb9mj 
larryldw41, Thu Apr 23 18:10:53 +0000 2020, -82.808041, 39.838171, @breezyCLE @BurdsIVue I should of known.....BREEZY ALREADY THERE!😉 
eframphoto, Thu Apr 23 18:10:53 +0000 2020, -73.968542, 40.780709, @AnandWrites @SarahHuckabee That would be a fantastic discussion! 
KAMIN39453792, Thu Apr 23 18:10:53 +0000 2020, -115.234435, 36.018805, I 
Ejoke21, Thu Apr 23 18:10:53 +0000 2020, -119.306608, 37.269176, Me and my friend getting ready to go to heaven because we rushed back to the gym and that second wave of Covid-19 w… https://t.co/2NTMG3VL1y 
mvchomango, Thu Apr 23 18:10:53 +0000 2020, -119.827182, 39.512436, my son has returned 
gucciberrywhite, Thu Apr 23 18:10:53 +0000 2020, -82.063185, 33.440717, @xmakeaccountmm1 @CrossingTrade i would love that. 
Sypher_CV, Thu Apr 23 18:10:53 +0000 2020, -123.111962, 45.246166, $10 PayPal giveaway! Come join! https://t.co/AYNunabGkG #mixer #giveaway #follow #paypal 
petezin, Thu Apr 23 18:10:53 +0000 2020, -80.233328, 25.782353, We love ❤️ sharing good news. Yes, good news after all! 🚀 
AffinityPrime, Thu Apr 23 18:10:53 +0000 2020, -94.559281, 39.100048, @JoeBiden @Janet_A_Jackson My vote is in.....@JoeBiden 2020 
johnhinton3, Thu Apr 23 18:10:54 +0000 2020, -96.761753, 32.819858, @Deetroit_Dave He lived in Dallas for awhile too back in the day. 
DebraHo25101890, Thu Apr 23 18:10:54 +0000 2020, -88.161555, 30.683649, Characters RevealedLeft Side: JusticeRight Side:#DeepStateLuciferianThugs #TheEnemyWithin #ComingSoon… https://t.co/GPVqxWN05J 
starkbc24, Thu Apr 23 18:10:54 +0000 2020, -72.757385, 41.500753, @DKSportsbook After the draft, Fletcher Cox will still be the best name in football. #hottake 
joneal_educator, Thu Apr 23 18:10:54 +0000 2020, -95.722085, 29.634805, @MissBowie_KDL Lol!! You think??? 
joesmooooth, Thu Apr 23 18:10:54 +0000 2020, -121.971926, 38.362844, @scottiepipm Y’all act like this is hella crazy. It’s the times we living in. Deal with it. 
heavenwithinme, Thu Apr 23 18:10:54 +0000 2020, -97.135638, 32.701850, @danijohnsonlive OMG I NEEDED THIS COMMENT LIFE WATER TO THE PARCHED TONGUE 
ksuoem, Thu Apr 23 18:10:54 +0000 2020, -83.173867, 32.678207, @jordanmh7 @gwsjuIi Awwwww!! That’s such a great compliment! Although........that place looks scary! 👻 
GoGet_It_, Thu Apr 23 18:10:54 +0000 2020, -100.076888, 31.168893, This is awesome! 
EmCeGreen, Thu Apr 23 18:10:54 +0000 2020, -149.758794, 61.235042, @RZNOsiris @Saschiha October , is that adult Naruto? I never kept up with that show ! 😂 
IVJody, Thu Apr 23 18:10:54 +0000 2020, -118.411907, 34.020789, if a bitch tell u this, leave immediately 😂 
R_Yucha, Thu Apr 23 18:10:54 +0000 2020, -122.330602, 47.614817, @sam_epstein He only hurts himself when he campaigns lolCOVID causing him to have to not campaign is a legit miracle 
ViralAudio, Thu Apr 23 18:10:54 +0000 2020, -75.117998, 40.004866, @mskitamaddie This boi about to come up &amp; cash out on them 😌🤣 https://t.co/pdEebqKpYM 
glend1967, Thu Apr 23 18:10:54 +0000 2020, -79.913521, 43.260695, @kevinmichaelcox @robertbenzie @TorontoStar The vegetables are. 
Ms_K_Hunter, Thu Apr 23 18:10:54 +0000 2020, -75.800141, 45.248791, @OttCatholicSB Thank you so much! I’m so enthusiastic to be apart of this wonderful school board, and I cannot wait… https://t.co/jOguRvhBsH 
LeechStan, Thu Apr 23 18:10:54 +0000 2020, -98.731789, 29.782798, #greatthingsboerneisd 
CB_Spidey, Thu Apr 23 18:10:54 +0000 2020, -97.432425, 27.737151, @RonnyPugs @AbMtz3 Wear a mask 
Cholinaa_, Thu Apr 23 18:10:55 +0000 2020, -74.073859, 39.970379, @branndonx13 definitely 
seth_shap, Thu Apr 23 18:10:55 +0000 2020, -118.411907, 34.020789, best show on the intrawebs 
gloguajardo, Thu Apr 23 18:10:55 +0000 2020, -99.454676, 27.532077, Ya bien. Que estan regalando en el Starbucks de DelMar? 
_drjo, Thu Apr 23 18:10:55 +0000 2020, -79.272570, 43.629311, @johnzamboni1 Great memory! I remember that day up in Barry’s Bay at the multicultural tourney! Amazing guy! 
babte28, Thu Apr 23 18:10:55 +0000 2020, -83.381166, 42.571954, @RealCandaceO why not start a United movement with all the people that walked away from Dem party.  You can unite a… https://t.co/ZaYfN4pvsZ 
swanlake1012, Thu Apr 23 18:10:55 +0000 2020, -80.055149, 40.495401, @stonecold2050 Not surprising they found no brain and if a cardio surgeon been called in, no heart would have been found. 
DirtyVisual, Thu Apr 23 18:10:55 +0000 2020, -80.667662, 28.275640, Brady just became “A Florida man” 
Grimm714, Thu Apr 23 18:10:55 +0000 2020, -117.924892, 33.889347, Lil Wayne ass, Gucci is mid, Sosa is top shelf not higher, Travis is high low shelf, drake is just a paid to win as… https://t.co/QEIfq08g62 
__RB24__, Thu Apr 23 18:10:55 +0000 2020, -77.014398, 38.898603, JiD go so crazy 
CindyLouuuu_, Thu Apr 23 18:10:55 +0000 2020, -76.593943, 24.074967, lmfaoo d’awwww🥺 
RBertWaters1, Thu Apr 23 18:10:55 +0000 2020, -93.606369, 41.576437, @PJ4KAG @franklinb @ScottPresler They’re upset because light is being shown on the outcome of “Progressive” leadership. 
BlatinoBottom, Thu Apr 23 18:10:55 +0000 2020, -73.968542, 40.780709, https://t.co/j4mjknFMit 
BDonna_12, Thu Apr 23 18:10:55 +0000 2020, -71.088712, 42.313670, @__AyoStephanie Too bothered 
MDM2582, Thu Apr 23 18:10:55 +0000 2020, -96.761753, 32.819858, Thinking about a @onepeloton. @DrewSperaw putting me on. Let’s hear for the peanut gallery...thoughts? I should be… https://t.co/VdnomeLSN2 
jmfcat1, Thu Apr 23 18:10:55 +0000 2020, -122.066473, 37.715782, @muddypaw_co What a sweet cuddle bug ❤❤❤ 
Ingridebap, Thu Apr 23 18:10:55 +0000 2020, -73.948775, 40.655138, Correction a so called white passing who thought he was white! 
ADR_Rocks, Thu Apr 23 18:10:55 +0000 2020, -77.085747, 35.120205, @NightlyPolitics I hope Biden puts Cuomo in charge of @fema he is the absolute bomb💫 
ariellayyy, Thu Apr 23 18:10:55 +0000 2020, -117.618621, 33.438735, “I think there may be something wrong with this world. Something hiding underneath. Either that or… or there’s some… https://t.co/cYYNClBJ4V 
cmarlin5, Thu Apr 23 18:10:55 +0000 2020, -81.526600, 41.609000, #NoExcuses @ Euclid, Ohio https://t.co/bckE3VgPZJ 
caliiiman, Thu Apr 23 18:10:55 +0000 2020, -119.034349, 34.225328, We are the universe’s sensory organs 
haylolz, Thu Apr 23 18:10:56 +0000 2020, -79.272570, 43.629311, @Dimukon i do feel that the csa has taking great steps forward, especially with the CPL launch, but this doesn’t me… https://t.co/Aj5gyvyTry 
Miss_Linda_T, Thu Apr 23 18:10:56 +0000 2020, -81.705467, 41.495940, How did the general U.S population suddenly become experts regarding infectious diseases and/or a virologist overnight regarding #COVID19 🤔 
Dedebarker59, Thu Apr 23 18:10:56 +0000 2020, -122.868989, 42.343589, Hello there! I’m Darby. Looking for my loving forever family. I’m very sweet &amp; love to go to the beach. Don’t U? Co… https://t.co/Sd8ZlWbQih 
rarielamin, Thu Apr 23 18:10:56 +0000 2020, -89.922029, 35.133521, you hungry ? 
iiaintshiit, Thu Apr 23 18:10:56 +0000 2020, -95.446486, 29.838495, Did I really just tear up a 1/2lb burger.... 
babspeaking, Thu Apr 23 18:10:56 +0000 2020, -75.117998, 40.004866, @Robin_Blue19 Just Phil, no title 
JstMyThghts901, Thu Apr 23 18:10:56 +0000 2020, -86.851177, 35.935017, *women get passes on that Fatphobia shit , it’s crazy ... 
FChaput, Thu Apr 23 18:10:56 +0000 2020, -83.804475, 27.698682, JohnMcCain was always a closet Democrat.  No surprise his daughter is. 
Eatplayevents, Thu Apr 23 18:10:56 +0000 2020, -122.287860, 37.799660, This is our last weekend here. So get those orders in 510.274.8335 Thank you Old Kan for the opportunity of growing… https://t.co/UJp05Yuz1U 
ColbyCohen36, Thu Apr 23 18:10:56 +0000 2020, -75.117998, 40.004866, @OvertimeScottB @KatieJStrang Thanks for the kind words Scott ! 
dazzlerbags, Thu Apr 23 18:10:56 +0000 2020, -79.272570, 43.629311, Iron ManDoctor StrangeScarlet WitchNebulaBuckyVision 
WednesdaysWorld, Thu Apr 23 18:10:56 +0000 2020, -73.565651, 40.761198, @AdrianE1337 @Pillio_ My family and I do , desperately! 
mtaft48, Thu Apr 23 18:10:56 +0000 2020, -81.698887, 28.017305, @sandyaschneider @Sirenspk17 Awesome idea you’re brilliant 
Miss_Shelby_Jo, Thu Apr 23 18:10:56 +0000 2020, -95.310239, 36.294368, ITS SNOCONE SEASON 😍🥰 
guymargo_, Thu Apr 23 18:10:56 +0000 2020, -122.630908, 45.536402, MARGO ISSUE ONE COMING JUNE 2020.Submissions are open until MAY 17th, to get everything ready for June.I can’t ex… https://t.co/yNhpAJByVQ 
knoellauren, Thu Apr 23 18:10:56 +0000 2020, -118.346153, 33.953633, @KeyToTheLAnd We’re 
sariemara_, Thu Apr 23 18:10:56 +0000 2020, -120.957123, 37.591091, I’m a hoe for a fully stocked fridge of fruits and veggies https://t.co/C9gLKn2ze1 
RashidaBriana, Thu Apr 23 18:10:56 +0000 2020, -87.848248, 41.852759, why y’all keep tryna hack my accounts 🤔 
PoliticalUte76, Thu Apr 23 18:10:56 +0000 2020, -111.917026, 40.765805, @WinnieT04070814 @KamalaHarris So in other words you're whining because you can't win the debate with me cause I'm… https://t.co/GdP61hyFBR 
emmittthedon, Thu Apr 23 18:10:56 +0000 2020, -75.117998, 40.004866, no flavor, bery distasteful of you. you need to grown up 
luvlie1_247, Thu Apr 23 18:10:56 +0000 2020, -110.915573, 32.189391, @dreamingboii 😌 
TomCoomes, Thu Apr 23 18:10:56 +0000 2020, -86.290863, 41.679655, @DaveRicks11 Yup, that works with large data sets all the time. This is very straight forward data.What are your qualifications? 
ArikFetscher, Thu Apr 23 18:10:57 +0000 2020, -73.639410, 41.050217, @ErfalU @McLNeuro @MicrobiomDigest No doctor or patient does clinicals for the pure science of it except clinicians… https://t.co/hKSZaOcjfk 
JohnNetworQ, Thu Apr 23 18:10:57 +0000 2020, -121.910345, 38.016752, @TegaDebby You like oyibo children shaaa 😂 
QUIPZONE7, Thu Apr 23 18:10:57 +0000 2020, -116.238001, 43.598033, @alicia19671 NARCISSISTIC warren had to jump on the Corona Corona bandwagon.  How old was her brother? 80?90? 
tuckyskitchen, Thu Apr 23 18:10:57 +0000 2020, -123.236353, 44.848675, Sorry y’all...trying to make up for yet another food distributor FU. Thanks y’all for your understanding and patien… https://t.co/v6M80wGCcE 
KeeleyFox29, Thu Apr 23 18:10:57 +0000 2020, -74.944125, 39.975444, More on the charges in shooting death of 4 year Kastari Nunez who was known as ‘Star’  news Release from Philadelph… https://t.co/BQlgZeEVpk 
landers_ruby, Thu Apr 23 18:10:57 +0000 2020, -85.059728, 41.374191, @RepDougCollins @realDonaldTrump Democrats are corrupt as the day is long!!!! 
CallMeMyLordt, Thu Apr 23 18:10:57 +0000 2020, -75.010764, 39.485111, I’m jus tryna survive the motion 
AshleyAskin33, Thu Apr 23 18:10:57 +0000 2020, -85.588327, 38.340090, @jhaedore GLOWING🤤✨ 
freedomsbride, Thu Apr 23 18:10:57 +0000 2020, -85.768241, 37.822244, @pennyhunter I love you so much 
Just_Lew_it, Thu Apr 23 18:10:57 +0000 2020, -73.625688, 40.794351, 1- Burrow2- Young3- Tua (Miami)4- Wills5- Okudah (Det)6- Derrick Brown7- CJ Henderson (Atl)8- Wirfs9- Simmo… https://t.co/jPrTu0EB11 
metzkergabriela, Thu Apr 23 18:10:57 +0000 2020, -74.184848, 40.734494, @gabirizardii O DESGRAMADA 
Pimp_Lucius_103, Thu Apr 23 18:10:57 +0000 2020, -90.158017, 32.230987, @Luckett_doe Ima enjoy this vacay 😂😂 
scarneiro900, Thu Apr 23 18:10:58 +0000 2020, -73.831187, 40.670879, @mariosabinof La vem vc! Quanto tempo tem essa matéria mesmo???? Sai vc pra lá com essa energia antagonista. 
KySheBahtYas, Thu Apr 23 18:10:58 +0000 2020, -122.150570, 48.168642, Mix'em Up Just Grab A Bag Don't Be #Stupid ... https://t.co/lk1Y9Ti1tE 
1120bren, Thu Apr 23 18:10:58 +0000 2020, -93.205056, 45.165333, And I gave my season tickets to my parents since I had senior prom. What a terrible decision. 
TMFOtter, Thu Apr 23 18:10:58 +0000 2020, -77.263252, 38.900207, @ToonArmy757 live look in to the Chronicle offices: https://t.co/LCbsypCZMH 
